month,day,avg_temp_f,min_temp_f,max_temp_f,stdev
1,1,27.85,19,45,4.292726406376255
1,2,27.3,17,43,4.160528812542944
1,3,27.8,16,46,4.853864439804639
1,4,27.65,15,45,4.901785389018984
1,5,27.4,13,38,4.684015371452148
1,6,27.6,13,38,4.431703961232068
1,7,27.6,13,36,4.465422712353221
1,8,28.05,17,38,3.694252292413175
1,9,28.75,20,40,3.096368841078207
1,10,29.25,22,43,2.9643717715563276
1,11,29.45,20,45,3.556332380416656
1,12,29,18,41,3.7013511046643495
1,13,28.45,17,43,3.4709508783617204
1,14,28.15,16,44,3.5954832776693593
1,15,27.85,13,43,3.9404948927767944
1,16,27.65,12,40,3.965791219920685
1,17,27.4,12,45,5.2
1,18,27.8,12,44,5.334791467339656
1,19,28.7,13,48,5.514526271584894
1,20,28.85,15,47,4.798697740012388
1,21,28.85,17,47,4.840196277011915
1,22,28.45,16,47,4.800781186432058
1,23,28.4,16,47,5.073460357586329
1,24,28.8,17,48,5.045790324617145
1,25,29.6,18,48,4.72652091923859
1,26,29.8,18,50,4.467661580737736
1,27,29.85,17,52,4.650537603331469
1,28,30.15,18,50,4.92214384186403
1,29,29.7,17,48,4.279018579066934
1,30,29.8,18,48,4.812483766206387
1,31,30.45,18,56,5.678688228807776
2,1,30.55,18,58,5.817860431464475
2,2,30.4,15,51,5.927900134111573
2,3,30.8,15,55,6.217716622683925
2,4,31.6,16,59,5.94474557908074
2,5,32.05,16,57,5.3802880963755095
2,6,31.95,16,57,4.769433928675394
2,7,32.3,17,58,5.090186637049765
2,8,32.75,23,61,4.856696408053524
2,9,33.4,23,58,5.678027826631356
2,10,33.55,20,57,6.020589672116843
2,11,32.9,20,57,5.602677931132575
2,12,32.65,18,58,5.237127075028827
2,13,33.2,16,58,4.874423042781576
2,14,34.45,17,58,5.181457323958194
2,15,34.7,19,58,5.404627646748663
2,16,34.65,23,53,4.486368241685026
2,17,34.45,24,51,3.6534230524263136
2,18,35.25,24,54,4.14578098794425
