month,day,temp_f
1,1,25.8
1,2,25
1,3,25
1,4,25.8
1,5,26.9
1,6,27.1
1,7,27.7
1,8,29
1,9,29.5
1,10,29.3
1,11,29.1
1,12,29.3
1,13,29.5
1,14,29
1,15,28
1,16,28.3
1,17,28.5
1,18,28.4
1,19,28.8
1,20,28.5
1,21,28.5
1,22,28.2
1,23,28.3
1,24,28.6
1,25,29.6
1,26,29.3
1,27,28.8
1,28,29.6
1,29,30.1
1,30,30.5
1,31,30.6
2,1,31.3
2,2,32.7
2,3,32.8
2,4,32.8
2,5,33.2
2,6,32.4
2,7,33.3
2,8,34.1
2,9,35.9
2,10,36.2
2,11,34.9
2,12,34.2
2,13,34.9
2,14,35.2
2,15,36.2
2,16,36.2
2,17,35.7
2,18,36.5
2,19,35.9
2,20,36.2
2,21,36.9
2,22,35.4
2,23,34.7
2,24,33.7
2,25,34.5
2,26,35.6
2,27,36.4
2,28,37.2
2,29,42.5
3,1,39.1
3,2,40.7
3,3,40.7
3,4,41.9
3,5,42.2
3,6,42.3
3,7,42.6
3,8,43.7
3,9,44.3
3,10,45.3
3,11,45
3,12,47
3,13,46.5
3,14,47.6
3,15,48
3,16,48.8
3,17,48.5
3,18,48.9
3,19,49.2
3,20,49.6
3,21,49.7
3,22,49.5
3,23,47.9
3,24,47.3
3,25,48.3
3,26,49
3,27,49.9
3,28,51
3,29,50.8
3,30,51.7
3,31,52
4,1,52.6
4,2,51.7
4,3,51.7
4,4,52.9
4,5,54.1
4,6,52.1
4,7,54.4
4,8,55.4
4,9,54.9
4,10,53.9
4,11,55.4
4,12,54.7
4,13,51.7
4,14,52.2
4,15,52
4,16,52.2
4,17,52.7
4,18,56.2
4,19,56.9
4,20,58.7
4,21,59.4
4,22,59.8
4,23,58.6
4,24,57.8
4,25,59.4
4,26,58.4
4,27,59.7
4,28,60.4
4,29,60.9
4,30,61.3
5,1,61.1
5,2,62.1
5,3,62.9
5,4,64
5,5,66.5
5,6,67.6
5,7,65.9
5,8,63.6
5,9,62.4
5,10,63.5
5,11,64.4
5,12,65.4
5,13,66.4
5,14,68.4
5,15,69
5,16,68.5
5,17,67.8
5,18,67.1
5,19,66.2
5,20,65.9
5,21,65.4
5,22,66.6
5,23,65.1
5,24,66.2
5,25,68.9
5,26,70.2
5,27,71.2
5,28,70.7
5,29,71.2
5,30,71.9
5,31,73.4
6,1,73.6
6,2,74.5
6,3,76.6
6,4,77.5
6,5,78.7
6,6,78.2
6,7,76.9
6,8,76.1
6,9,76.8
6,10,77.6
6,11,76.6
6,12,77.3
6,13,76.8
6,14,75.9
6,15,77.2
6,16,78.5
6,17,78.2
6,18,78
6,19,79.1
6,20,78.7
6,21,79.8
6,22,80
6,23,80.8
6,24,81.1
6,25,81.6
6,26,82.9
6,27,83.9
6,28,84.4
6,29,83.3
6,30,83
7,1,84.1
7,2,86.4
7,3,87.4
7,4,87.4
7,5,87.5
7,6,87.4
7,7,87.1
7,8,87.5
7,9,87.4
7,10,86.9
7,11,86
7,12,88.1
7,13,88.7
7,14,88.3
7,15,89.1
7,16,89.3
7,17,88.9
7,18,89.4
7,19,89.2
7,20,89.1
7,21,90.2
7,22,89.4
7,23,88.5
7,24,88.6
7,25,88.8
7,26,88.5
7,27,87.3
7,28,86.8
7,29,85.6
7,30,85.5
7,31,86.8
8,1,86.7
8,2,85.7
8,3,85.1
8,4,84
8,5,84.3
8,6,83.1
8,7,82
8,8,81.1
8,9,81.6
8,10,82.3
8,11,83.2
8,12,83.1
8,13,83.1
8,14,83.2
8,15,83.6
8,16,83.5
8,17,83.3
8,18,81.9
8,19,80.4
8,20,79.5
8,21,80.8
8,22,79.7
8,23,78.2
8,24,78.7
8,25,79.6
8,26,79
8,27,77.8
8,28,77.9
8,29,79.4
8,30,80.6
8,31,80.1
